number,value,datetime_start,datetime_complete,duration,params_alpha,params_threshold,state
34,0.6148365681966145,2025-12-10 11:47:49.537641,2025-12-10 11:47:58.914649,0 days 00:00:09.377008,3.375720310060475,18.769372306826725,COMPLETE
35,0.5834493725585937,2025-12-10 11:47:58.914848,2025-12-10 11:48:09.750663,0 days 00:00:10.835815,4.674340430078803,10.248658654537643,COMPLETE
36,0.656676455891927,2025-12-10 11:48:09.750870,2025-12-10 11:48:18.498763,0 days 00:00:08.747893,4.697190029957728,24.20467319871768,COMPLETE
37,0.7815356494140625,2025-12-10 11:48:18.498960,2025-12-10 11:48:24.385166,0 days 00:00:05.886206,4.745020254928181,117.32859884477693,COMPLETE
38,0.6699310961914062,2025-12-10 11:48:24.385350,2025-12-10 11:48:32.432890,0 days 00:00:08.047540,4.169697753908511,30.79032118268271,COMPLETE
39,0.7191134423828125,2025-12-10 11:48:32.433089,2025-12-10 11:48:39.659065,0 days 00:00:07.225976,4.535730526321543,45.58714089592872,COMPLETE
40,0.7320765633138021,2025-12-10 11:48:39.659247,2025-12-10 11:48:46.340999,0 days 00:00:06.681752,3.7712807288235792,55.07945080414859,COMPLETE
41,0.5841303401692709,2025-12-10 11:48:46.341185,2025-12-10 11:48:57.108778,0 days 00:00:10.767593,4.091986105684974,10.506638058950376,COMPLETE
42,0.6019145939127604,2025-12-10 11:48:57.108986,2025-12-10 11:49:07.071615,0 days 00:00:09.962629,4.184927392623912,14.975639369222975,COMPLETE
43,0.6522899772135416,2025-12-10 11:49:07.071815,2025-12-10 11:49:15.984574,0 days 00:00:08.912759,4.4313109420383405,22.708799799248286,COMPLETE
44,0.6047254345703126,2025-12-10 11:49:15.984769,2025-12-10 11:49:25.780012,0 days 00:00:09.795243,4.688285022231865,16.070514709281607,COMPLETE
45,0.7819821777343751,2025-12-10 11:49:25.780213,2025-12-10 11:49:31.612498,0 days 00:00:05.832285,4.05908774610142,109.50133920601874,COMPLETE
46,0.5834521468098959,2025-12-10 11:49:31.612683,2025-12-10 11:49:42.489959,0 days 00:00:10.877276,4.338357627641447,10.220138172166532,COMPLETE
47,0.6187912150065105,2025-12-10 11:49:42.490178,2025-12-10 11:49:51.675069,0 days 00:00:09.184891,4.336084309018642,20.422026703835655,COMPLETE
48,0.5827213883463542,2025-12-10 11:49:51.675265,2025-12-10 11:50:02.555537,0 days 00:00:10.880272,4.755651819270124,10.021166227843437,COMPLETE
49,0.6618768644205729,2025-12-10 11:50:02.555742,2025-12-10 11:50:10.948335,0 days 00:00:08.392593,4.970520799633652,26.93377491795787,COMPLETE
