,number,value,datetime_start,datetime_complete,duration,params_alpha,params_threshold,state
33,33,0.7037575358072917,2025-12-10 10:06:20.250300,2025-12-10 10:06:44.108717,0 days 00:00:23.858417,0.001342937401815153,26.99735309434815,COMPLETE
34,34,0.6681670206705731,2025-12-10 10:06:44.108938,2025-12-10 10:07:23.939625,0 days 00:00:39.830687,0.14245759961723012,15.092419629136188,COMPLETE
35,35,0.7499780537923177,2025-12-10 10:07:23.939942,2025-12-10 10:07:41.122670,0 days 00:00:17.182728,0.19529085337123012,42.51450654085258,COMPLETE
36,36,0.6476309326171875,2025-12-10 10:07:41.122872,2025-12-10 10:09:04.944724,0 days 00:01:23.821852,0.09233994625596365,6.565517730107336,COMPLETE
37,37,0.7101070705837674,2025-12-10 10:09:04.944947,2025-12-10 10:09:27.092227,0 days 00:00:22.147280,0.029314571151457747,31.785831450606192,COMPLETE
38,38,0.7880972608778213,2025-12-10 10:09:27.092427,2025-12-10 10:09:41.507466,0 days 00:00:14.415039,0.17759776330345947,53.925647816279955,COMPLETE
39,39,0.6682915167914496,2025-12-10 10:09:41.507665,2025-12-10 10:10:25.530642,0 days 00:00:44.022977,0.128864373774956,15.173677773319369,COMPLETE
40,40,0.804188567437066,2025-12-10 10:10:25.530855,2025-12-10 10:10:39.040861,0 days 00:00:13.510006,0.05691889060056425,84.47934952693785,COMPLETE
41,41,0.651830397542318,2025-12-10 10:10:39.041062,2025-12-10 10:11:54.885351,0 days 00:01:15.844289,0.10315649005470798,7.95323023681541,COMPLETE
42,42,0.6445159084743924,2025-12-10 10:11:54.885751,2025-12-10 10:13:24.325317,0 days 00:01:29.439566,0.07700111707783697,5.578924894500594,COMPLETE
43,43,0.6993944627549914,2025-12-10 10:13:24.325538,2025-12-10 10:13:50.925428,0 days 00:00:26.599890,0.06891556996988399,25.49361711205973,COMPLETE
44,44,0.6673415534125432,2025-12-10 10:13:50.925639,2025-12-10 10:14:38.582729,0 days 00:00:47.657090,0.16711157330953963,14.136272920323792,COMPLETE
45,45,0.7112051595052086,2025-12-10 10:14:38.583058,2025-12-10 10:15:00.342595,0 days 00:00:21.759537,0.12593623952824326,33.68562891657639,COMPLETE
46,46,0.6934495117187499,2025-12-10 10:15:00.342900,2025-12-10 10:15:31.928045,0 days 00:00:31.585145,0.04172035980218954,20.938833203083284,COMPLETE
47,47,0.6664708997938368,2025-12-10 10:15:31.928247,2025-12-10 10:16:21.948188,0 days 00:00:50.019941,0.21741894356210945,13.544067991074964,COMPLETE
48,48,0.6475611694335938,2025-12-10 10:16:21.948409,2025-12-10 10:17:44.357990,0 days 00:01:22.409581,0.493160757001832,6.479846288177734,COMPLETE
49,49,0.8073690090603298,2025-12-10 10:17:44.358232,2025-12-10 10:17:55.819724,0 days 00:00:11.461492,0.0014261435588283772,101.25354563189511,COMPLETE
